Name, Identification Number,Country Code,Mutation,Locus,Disorder,Professional Exposure,Professional Exposure Time, Gender,Age,Age At Diagnosis,Age Of Death,Physician
Annmarie Mcnelly,6552245763564,SG,ANKS1B,Mycobacterium Marinum,4q21.3,Arsenic,45,F,45,45,100,Morton Salazar
Louetta Bonds,4137788066864,GA,FOXO3,Congenital,7q11.23,,45,F,45,45,100,Dionne Cook
Freda Roberts,1507056724152,DM,CHRNA7,Thyrotoxic Periodic Paralysis,6q23.2,Metals toxic,45,M,45,45,100,Selene Mcgavock
Selene Mcgavock,2873470636101,JM,CRYBB3,Multiple Myeloma Myeloma,6p24.2,Lead,45,F,45,45,100,Gilberte Neville
Adriana Nease,0102634484433,LS,C7orf55,Autism Susceptibility 13,10q24.31,,45,M,45,45,100,Noelle Stubblefield
Ronna Tickle,3818111357568,CZ,HNRNPC,Alk-Related Neuroblastoma Susceptibility,,Beryllium,45,M,45,45,100,Tiffany Wanamaker
Philip Maclin,5478156267371,PN,AKTIP,Qtl5],19q13.33,,45,F,45,45,100,Inez Huggins
Philip Maclin,8503758723807,GQ,CSF1,Down Syndrome,9p13.3,Methylene chloride,45,M,45,45,100,Morton Salazar
Sheilah Kinzer,5307440484317,TZ,FASTKD2,Pneumothorax Show all 4,1p36.11,Hydrogen sulfide,45,F,45,45,100,Olympia Carmack
Willy Horne,1282323347553,SN,FMO5,Wiskott-Aldrich Syndrome,4q21.21,,45,M,45,45,100,Fabiola Hust
Liliana Mckean,2100831047315,EC,INTLQ3,Bardet-Biedl Syndrome,11q24.2,Solvents,45,F,45,45,45,Donald Silvia
Julianna Brownson,1505623171545,BJ,DKC1,C6 Deficiency,3q22.3,,45,M,45,45,100,Reinaldo Ye
Lonna Shehane,6308466411535,GD,EML4,Spastic Paraplegia 3,3q26.1,13-Butadiene,45,F,45,45,100,Marguerite Taliaferro
Kim Dang,6108113106406,MP,ALMS1P,Autism Susceptibility 1,11q24.1,13-Butadiene,45,F,45,45,100,Inga Harte
Rosio Sivils,3336552805070,FK,DGKG,Autism Susceptibility 1,9p13.2,Diesel exhaust,45,F,45,45,100,Shirleen Schrom
Ardella Truluck,6542217633322,MT,GNPTAB,Type 11,17q24.2,,45,F,45,45,100,Racquel Dragoo
Marielle Pietrowski,6277407528047,PK,CTAG1B,Capillary Leak Syndrome,21q22.11,,45,F,45,45,100,Maryln Galyean
Wyatt Lavery,8133668574641,IL,GLE1,Choanal Atresia,22q11.21,13-Butadiene,45,F,45,45,100,Janet Gaillard
Lilla Schreffler,3727520868185,TN,COPD15,Breast Adenoma,16q22.1,,45,F,45,45,45,Barton Snipes
Dominica Eldred,6371252780730,AQ,CDSN,Bone Lymphoma,2p11.2,Hydrogen sulfide,45,M,45,45,100,Tynisha Whittlesey
Zelda Hadaway,7620627754666,ZW,IDDM4,Hard Palate Cancer De Hauwere Syndrome,10p11.21,Arsenic,45,M,45,45,100,Janey Hilgefort
Shameka Goudy,8185210403817,FI,ATP5G3,Acute Chest Syndrome,4q13.2-q21.3,Solvents,45,F,45,45,100,Page Blanke
Aretha Newlin,6604038887054,CO,APOBEC3C,Portal Hypertension,19q13.2,,45,M,45,45,100,Devora Lewey
Diann Schuch,6756160335268,FO,CHMP4B,Cerebellar Hypoplasia And Mental Retardation With Or Without Quadrupedal Locomotion 1,4q24,,45,M,45,45,100,Jack Hungerford
Pamila Campfield,4722837221705,CF,BAK1,Stomach Cancer,11q13.4,,45,M,45,45,100,Asa Rhymes
Suzann Spafford,3845864647762,HR,IGSF6-DREV1,Obesity,16q23.1,,45,M,45,45,100,Bernardo Beno
Eusebia Romans,3318856887117,BA,DER22T8-22,Schizophrenia,15q25.2,Lead,45,M,45,45,100,Cesar Tesar
Shelba Neely,4842556254648,TL,BGN,Mutism,16q13-q22.1,Formaldehyde,45,M,45,45,100,Shonna Mixer
Janey Hayslip,0841548836221,PG,ERAS,Type 2 Diabetes Mellitus,15q22.31,Metals toxic,45,M,45,45,100,Brittni Carlsen
Estell Heidrick,2252012678027,ES,INCENP,Balanitis Thymic Hyperplasia,2p13.3,,45,F,45,45,100,Edwin Boettger
Elayne Wenner,3102324671206,FI,DFNM1,Reduced Brain Density Of,5q13.3,,45,F,45,45,45,Bertram Blumenfeld
Mauro Aliff,6252660565063,GG,CPN1,Dystrophinopathies Arrhythmogenic Right Ventricular Cardiomyopathy,18q12.1,,45,F,45,45,100,Yung Fitts
Reggie Conry,3215882884631,QA,DIABLO,Degenerative Disc Disease,4q27,,45,F,45,45,100,Elanor Brunet
Jacki Moss,8624478617847,PY,AASTH26,Congenital Aphakia Anterior Segment Mesenchymal Dysgenesis,16q24.3,Toluene,45,M,45,45,100,Aliza Pauli
Cassi Camacho,2401248428663,ME,CHKA,Basal Cell Carcinoma 4 Basal Cell Carcinoma,11q24.3,Asphalt fumes,45,M,45,45,100,Reinaldo Ye
Cecil Chiles,4805610715302,BT,ACSL6,Qtl 2,11q13.5,,45,F,45,45,100,Asa Rhymes
Mauro Aliff,2252760036662,GY,HLA-DRB6,Gaba Aminotransferase Deficiency,10q26.13,,45,F,45,45,100,Noelle Stubblefield
Dannie Pantano,6674455676028,PH,CDKN2B-AS1,Albinism Deafness Syndrome,17q25.3,Methylene chloride,45,M,45,45,100,Gracie Test
Lonna Shehane,3621542406073,YT,LAMP1,Melanoma Malignant Pleural Mesothelioma,10q22.2,Hydrogen sulfide,45,M,45,45,100,Collin Sansom
