Name, Identification Number,Country Code,Mutation,Disorder,Professional Exposure,Gender,Age,Age At Diagnosis,Age Of Death,Physician
Noreen Sluss,6350275070305,SZ,CNR2,Blepharitis,,F,45,45,45,Jodie Graves
Zora Estes,7873352515618,SC,C9orf53,Subacute Thyroiditis Amnestic Disorder,,F,45,45,100,Shenika Caldwell
Lidia Pilon,1030618002187,US,ADAMTS17,Microcornea;Rod-Cone Dystrophy;Cataract;And Posterior Staphyloma;Retinitis Pigmentosa-50;Vitreoretinochoroidopathy,,F,45,45,45,Noelle Stubblefield
Michael Sustaita,3418602547007,FI,AKAP9,Colorectal Adenoma,,F,45,45,100,Guillermo Seymore
Venice Lakey,4368045516464,BG,CLCNKA,Vitelliform Macular Dystrophy,Metals toxic,F,45,45,100,Lynn Caminiti
Noelle Goley,1352127160327,BH,CCDC39,Persistent Hyperplastic Primary Vitreous;Autosomal Recessive;Open-Angle Glaucoma Corneal Opacification And Other Ocular Anomalies,Asphalt fumes,F,45,45,100,Magen Luczak
Katheryn Shatzer,3647527400160,PH,BCAT2,Atherosclerosis;Asthma;Diminished Response To Antileukotriene Treatment In;Paranasal Sinus Disease,Diesel exhaust,F,45,45,100,Kathey Bolton
Carletta Houde,7634650730807,GW,DIANPH,Alzheimers Disease Myositis,,F,45,45,100,Lezlie Anderton
Bradford Hugley,4725535274118,PA,HRPT3,Glomerulosclerosis;Focal Segmental Glomerulosclerosis;Nephrotic Syndrome Type 3,,F,45,45,100,Victoria Dame
Alfonso Widmer,3831517820035,NG,BAD,Hermansky Pudlak Syndrome 2;Hermansky-Pudlak Syndrome 1;Platelet Storage Pool Deficiency Show all 4,,F,45,45,100,Janet Gaillard
Daina Mcgreevy,0210321761306,MH,ELAVL4,Breast Cancer Acute Myeloid Leukemia,Solvents,M,45,45,100,Theresia Mungo
Jamison Murden,5187855177053,US,CT45A1,Mental Retardation;Autosomal Recessive;37 Plexiform Neurofibroma,Arsenic,M,45,45,100,Carleen Hough
